,id,x,y
0,S Rafael,104,187
1,R Buen,163,231
2,R Rincon,152,251
3,B Torre,169,322
4,C German,179,359
5,M Y A,269,298
6,E Policia,339,304
7,R Sultana,347,357
8,Girasoles,362,297
9,C Hato G,421,327
10,I Inmaculada,508,371
11,S Testigos,585,376
12,Piccolo,667,259
13,Caqueza C,712,245
14,B Farro,690,174
15,Montallantas,662,136
16,R Dona Flor,614,151
17,B Bogota,500,192
18,P Crema,462,202
19,V Nepo,419,174
20,C Ledy,380,104
21,P Lanses,255,73
22,P Bolivariana,201,62
23,R Valeria,155,90
24,Uniminuto,202,151
25,ESSO,225,228
26,H Puerta L,26,221
27,C Departamental,292,211
28,Interrapidisimo,346,253
29,Coma Pan,413,235
