node1,node2,trail,distance,color,estimate
S Rafael,R Buen,rs,0.3,orange,0
R Buen,R Rincon,rs,0.5,red,0
R Rincon,B Torre,rs,0.3,blue,0
B Torre,C German,rs,0.6,red,0
C German,M Y A,rs,0.7,red,0
M Y A,E Policia,rs,0.5,blue,0
E Policia,R Sultana,rs,0.3,black,0
R Sultana,Girasoles,rc,0.3,blue,0
Girasoles,C Hato G,rc,0.4,red,0
C Hato G,I Inmaculada,rc,0.5,red,0
I Inmaculada,S Testtigos,rc,0.9,blue,0
S Testtigos,Piccolo,rc,0.2,blue,1
Piccolo,Caqueza C,rc,0.4,black,0
Caqueza C,B Farro,rc,0.5,red,0
B Farro,Montallantas,rt,0.6,blue,0
Montallantas,Dona Flor,rt,0.4,red,0
Dona Flor,B Bogota,rt,0.3,red,1
B Bogota,P Crema,rt,0.5,red,0
P Crema,V Nepo,rt,0.3,blue,1
V Nepo,C Ledy,rt,0.4,blue,0
C Ledy,P Lanses,rt,0.6,blue,0
P Lanses,P Bolivariana,rt,0.4,black,0
P Bolivariana,R Valeria,rh,0.2,black,0
R Valeria,Uniminuto,rh,0.5,black,0
Uniminuto,ESSO,rh,0.4,blue,0
ESSO,H Puerta L,rh,0.6,red,1
H Puerta L,C Departamental,rh,0.4,red,1
C Departamental,Interrapidisimo,rh,0.6,blue,0
Interrapidisimo,Coma Pan,rh,0.2,black,0
Coma Pan,,rd,0.6,blue,0
